monto,fecha,descripcion,proforma
303.53,1729129674,9440 Alden Lane,1
528.49,1729129614,8933 Ashton Rue,2
472.18,1729129554,57240 Koelpin Flat,3
353.43,1729129494,79461 Kling Dale,4
568.40,1729129434,0631 Lang Flats,5
487.98,1729129374,38163 Myah Center,6
596.31,1729129314,123 Lang Island,7
388.01,1729129254,60259 Litzy Trafficway,8
795.73,1729129194,9913 Hirthe View,9
694.34,1729129134,8378 Norene Dale,10
377.44,1729129074,638 Swaniawski Valley,11
457.10,1729129014,275 Strosin Via,12
452.83,1729128954,496 Stephania Lane,13
392.01,1729128894,1275 Considine Radial,14
643.63,1729128834,24112 Kunze Dam,15
467.53,1729128774,3087 Freida Streets,16
878.74,1729128714,762 Heathcote Prairie,17
403.97,1729128654,05044 Nathanial Trail,18
756.99,1729128594,894 Raymundo Motorway,19
492.04,1729128534,46483 Emmerich Orchard,20
714.64,1729128474,861 Kenny Roads,21
183.45,1729128414,59530 Rowland Viaduct,22
192.03,1729128354,48231 Devin Parks,23
116.68,1729128294,9547 Dashawn Forges,24
690.65,1729128234,3972 Cormier Underpass,25
832.71,1729128174,033 Giovanny Loop,26
115.81,1729128114,8584 Beer Station,27
956.83,1729128054,91017 Kuvalis Road,28
469.43,1729127994,221 Von Estate,29
668.77,1729127934,5673 Judge Isle,30
39.33,1729127874,587 Klein Lane,31
355.43,1729127814,8747 Tremaine Land,32
974.79,1729127754,654 Jaleel Fork,33
194.75,1729127694,49768 Charlotte Brook,34
337.70,1729127634,0109 Jacobs Knoll,35
709.14,1729127574,1240 Farrell Lights,36
748.94,1729127514,21072 Jed Square,37
707.45,1729127454,069 Dooley Terrace,38
755.01,1729127394,68536 Trycia Unions,39
261.27,1729127334,89443 Strosin Overpass,40
858.69,1729127274,487 Armstrong Coves,41
889.00,1729127214,1715 Elmo Fort,42
740.44,1729127154,02733 McKenzie Isle,43
638.71,1729127094,46639 Bogisich Knolls,44
637.12,1729127034,109 Oma Turnpike,45
381.26,1729126974,3855 Terrence Fall,46
122.34,1729126914,337 Johnston Brooks,47
622.03,1729126854,5974 Mann Ports,48
248.47,1729126794,734 Jerde Terrace,49
254.53,1729126734,036 Gust Haven,50
202.94,1729126697,11436 Walsh Walk,51
103.21,1729126637,6632 Franey Courts,52
692.03,1729126577,8873 Thiel Greens,53
800.87,1729126517,4643 Amy Burgs,54
892.08,1729126457,270 Brekke Prairie,55
384.13,1729126397,0538 Bradley Forest,56
193.80,1729126337,36497 Ruby Canyon,57
484.35,1729126277,67827 Berta Mall,58
500.95,1729126217,796 Rolando Neck,59
438.84,1729126157,7765 Beahan Shoal,60
622.24,1729126097,27131 Floyd Circle,61
633.46,1729126037,19701 Ludwig Avenue,62
196.72,1729125977,9364 Runolfsdottir Fords,63
988.94,1729125917,3972 Assunta Freeway,64
368.91,1729125857,150 Hillary Bridge,65
100.49,1729125797,834 Troy Mount,66
255.23,1729125737,6666 Pascale Rapid,67
41.39,1729125677,28912 Okey Spring,68
703.71,1729125617,157 Koch Way,69
836.54,1729125557,35327 Dashawn Haven,70
226.96,1729125497,8211 Marian Common,71
481.38,1729125437,4204 Clemmie Neck,72
29.74,1729125377,8781 Eliseo Island,73
134.36,1729125317,89020 Paucek Hollow,74
498.78,1729125257,0678 Vicky Falls,75
176.31,1729125197,24668 Imelda Grove,76
810.99,1729125137,60022 Novella Courts,77
899.17,1729125077,352 Quincy Loop,78
916.16,1729125017,6811 Rempel Unions,79
618.86,1729124957,6126 Georgiana Canyon,80
529.47,1729124897,7431 Stamm Fork,81
633.14,1729124837,99664 Thiel Hill,82
899.91,1729124777,0869 Brakus Inlet,83
268.45,1729124717,71018 Conn Groves,84
465.41,1729124657,3117 Emmerich Fork,85
667.82,1729124597,65320 Richard Forges,86
651.68,1729124537,8462 Watsica Village,87
677.06,1729124477,850 Ortiz Rapids,88
331.55,1729124417,6860 Wilfred Pines,89
279.80,1729124357,84020 Weissnat Track,90
631.84,1729124297,1135 Metz Inlet,91
4.00,1729124237,043 Colby Pass,92
982.93,1729124177,4938 Hauck Dale,93
652.80,1729124117,1032 Clarissa Path,94
391.18,1729124057,82483 Waters Skyway,95
940.29,1729123997,053 Kassulke Trafficway,96
472.51,1729123937,618 Marlon Highway,97
326.40,1729123879,474 Arely River,98
658.03,1729123819,0366 Schmeler Lake,99
955.18,1729123759,3989 Darron Fork,100
